question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
89,Reklamın obyektinə görə hansı növü məhsulun satışını stimullaşdırmaq və tələbat yaratmaq məqsədi daşıyır?,Xatırladıcı reklam,Rəqabət reklamı,İnstitusional reklamlar,Müdafiə reklamı,Məhsul reklamları,e
90,"“Bir avtomobil markası yeni modelini sərgi salonunda göstərir, texniki xüsusiyyətlərini və satış şərtlərini izah edir.” Bu hansı reklam nümunəsidir.",İnstitusional reklamlar,Xatırladıcı reklam,Müdafiə reklamı,Məhsul reklamları,Rəqabət reklamı,d
91,"Aşağıdakı nümunələr hansı reklam növünə aiddir? 1.Yeni televizor markası istehlakçılara onun texniki xüsusiyyətlərini və satış yerlərini tanıdır. 2.Mağaza yeni qəhvə markasını təqdim edir, alıcılarda maraq yaratmaq üçün kiçik endirim kampaniyası aparır. 3.Bir kompüter proqram təminatı şirkəti məhsulunu peşəkar istifadəçilərə nümayiş etdirir və satışını stimullaşdırır.",Rəqabət reklamı,Xatırladıcı reklam,Müdafiə reklamı,İnstitusional reklamlar,Məhsul reklamları,e
92,"Uyğunluğu müəyyən edin. 1.Firma satışları stabil olduğu halda televiziya və internetdə vaxtaşırı reklam çarxları yayımlayır. 2.Şirkət yeni yaradılıb və cəmiyyət arasındaetibar, nüfuz formalaşdırmaq istəyir. 3.Mağaza bir həftəlik endirim kampaniyası elan edərək satışları qısa müddətdə artırmağa çalışır. İmic reklamı Stimullaşdırıcı reklam c.Sabitlik reklamı","1­c, 2­b,3­","1­a, 2­c,3­","1­b, 2­a,3­c.","1­a, 2­b,3­c.","1­c, 2­a,3­",e
93,"Uyğunluğu müəyyən edin. 1.İmic reklamı 2.Stimullaşdırıcı reklam 3.Sabitlik reklamı a.Firmanın bazarda artıq əldə etdiyi mövqeni qorumaq və unudulmamaq məqsədi daşıyır b.Alıcılarda etibar, nüfuz və marka dəyəri formalaşdırmağa yönəlir c.Qısa müddətdə satışın artırılması üçün endirim və təşviq üsullarından istifadə edir","1­a, 2­c,3­","1­c, 2­a,3­","1­b, 2­c,3­","1­a, 2­b,3­c.","1­c, 2­b,3­",c
94,Aşağıdakı situasiyalardan hansında imic reklamı daha məqsədəuyğundur?,Qiymət endirimləri elan edilərkən,Məhsul stokdan çıxarılarkən,Yeni məhsul ilk dəfə təqdim edilərkən,Satış həcmini kəskin azaltmaq istədikdə,Firma bazarda uzunmüddətli etibar formalaşdırmaq istədikdə,e
95,Reklam etikası baxımından düzgün hesab edilən davranış hansıdır?,Rəqibin adından istifadə etməklə reklam aparmaq,Rəqib məhsulu açıq şəkildə tənqid etmək,Rəqib firmaya qarşı mənfi imic formalaşdırmaq,Rəqib məhsulun zəif cəhətlərini qabartmaq,Rəqib məhsulla müqayisədə öz məhsulunun üstünlüklərini vurğulamaq,e
96,Stimullaşdırıcı reklamın imic reklamının tərkib hissəsi sayılmasının əsas səbəbi nədir?,Hər ikisinin eyni yayım vasitələrindən istifadə etməsi,Stimullaşdırıcı reklamın uzunmüddətli olması,Hər ikisinin yalnız yeni məhsullar üçün tətbiq olunması,Satışın artmasının firmanın ümumi imicinə təsir göstərməsi,Hər ikisinin dövlət tərəfindən maliyyələşdirilməsi,d
97,İmic reklamı ilə stimullaşdırıcı reklam arasındakı əsas fərq hansıdır?,Hər ikisi yalnız yeni məhsullar üçün aparılır,"İmic reklamı bazara çıxışı elan edir, stimullaşdırıcı reklam satışa yönəlir.","İmic reklamı qısa müddətlidir, stimullaşdırıcı reklam uzundur",Stimullaşdırıcı reklam prestij yaradır,"İmic reklamı etibar yaradır, stimullaşdırıcı reklam satışa yönəlir",e
98,Reklam agentliyinin KİV­lə əlaqədə materialların yerləşdirilməsinə nəzarət etməsi hansı funksiyanın tərkib hissəsidir?,Yaradıcı­istehsal funksiyasının,Strateji planlaşdırma funksiyasının,Vasitəçilik və icra funksiyasının,Reklam obyektinin seçilməsi funksiyasının,Maliyyə planlaşdırması funksiyasının,c
99,"Reklam materiallarının ssenari, eskiz və mətnlərinin təsdiqinin reklamverənə aid edilməsi nə ilə əsaslandırılır?",Reklam icraçılarının sərbəst fəaliyyət göstərməsi ilə,Reklamverənin maliyyə nəzarətini təmin etməsi ilə,Reklam agentliyinin hüquqi məsuliyyət daşımaması ilə,Reklam edilən məhsulun məzmununa görə son məsuliyyətin reklamverəndə olması ilə,KİV­lə əlaqələrin reklamverən tərəfindən aparılması ilə,d
100,Sayca az olan reklam şöbələrində hansı yanaşma daha əlverişli hesab olunur?,Yalnız daxili yaradıcı bazadan istifadə,Reklam xidmətlərini tamamilə KİV­ə həvalə etmək,Ştatdankənar yüksək ixtisaslı mütəxəssislərin gücündən istifadə edilməsi,Yalnız texniki işçilərlə fəaliyyət göstərmək,Reklam fəaliyyətindən tam imtina,c
101,Sərgilər və yarmarkalarda reklam tədbirlərinin təşkili hansı tərəfin xidmətidir?,Reklamverənin,KİV­in,Maliyyə şöbəsinin,Reklam agentliyinin,İstehsal şöbəsinin,d
102,Reklam məhsulunun bədii səviyyəsini artırmaq üçün hansı struktur tövsiyə olunur?,Audit komissiyası,Satış şöbəsi,İstehsal briqadası,Hüquq xidməti,Bədii­redaksiya şurası,e
103,Reklamverən rolunda aşağıdakılardan hansı çıxış edə BİLMƏZ?,Xüsusi sahibkarlar,Ticarət firmaları,Banklar,Reklam xərclərini ödəməyən fərdi şəxslər,Sənaye müəssisələri,d
104,Reklamverənlərin əsas vəzifələrindən biri kimi hansı düzgün göstərilmişdir?,Reklam agentliyinin daxili strukturunun qurulması,KİV­lə hesablaşmaların aparılması,Reklam məhsullarının tirajının artırılması,Reklam obyektinin müəyyənləşdirilməsi,Reklam bazarının monitorinqi,d
105,Reklam agentliyi tərəfindən sifarişçilərə təklif edilən xidmətlərə aşağıdakılardan hansı DAXİL DEYİL?,Reklam suvenirləri və qablaşdırma qutularının hazırlanması,Kompleks reklam kampaniyalarının hazırlanması və reallaşdırılması,Bazar konyukturasının dəyişməsinə uyğun təkliflərin verilməsi,Reklamverənlərin reklam xərclərinin əvvəlcədən ödənilməsi,Mal nişanları və firmanın stilinin işlənib­hazırlanması,d
106,Reklam agentliyinin üzərinə götürdüyü vəzifələrdən biri kimi düzgün göstərilən variant hansıdır?,Reklamın məqsəd və vəzifələrinin formalaşdırılması,Reklam obyektinin seçilməsi,KİV­ləri ilə əlaqə yaradaraq materialların yerləşdirilməsi,Reklam xərclərinin əvvəlcədən ödənilməsi,Reklam edilən məhsulun keyfiyyətinə hüquqi zəmanət verilməsi,c
107,Aşağıdakılardan hansı reklamverənlərin əsas vəzifələrinə AİD DEYİL?,Reklam materiallarının ssenari və eskizlərinin təsdiqi,Görülən işlərin haqqının ödənilməsi,Reklam obyektinin müəyyənləşdirilməsi,Reklam materiallarının KİV­də yerləşdirilməsinə nəzarət,Reklam xərclərinin planlaşdırılması,d
108,Reklamverənlərin reklam agentliklərinə müraciət etməsinin əsas məqsədləri hansılardır?,Reklam xərclərini azaltmaq və istehsalı genişləndirmək,Kütləvi informasiya vasitələrini maliyyələşdirmək,Reklam agentliklərinin fəaliyyətini nəzarətdə saxlamaq,Firma və məhsullar haqqında müsbət təəssürat yaratmaq və satışı artırmaq,Firmanın bazardakı mövqeyini zəiflətmək və qiymətləri aşağı salmaq,d
109,Aşağıdakılardan hansı stimullaşdırıcı reklamın əsas məqsədinə daha çox uyğundur?,Firmanın uzunmüddətli nüfuzunun formalaşdırılması,Etibarın qorunması,Bazar mövqeyinin sabit saxlanması,Satış həcminin qısa müddətdə yüksəldilməsi,Məhsulun prestijinin artırılması,d
110,Yeni məhsul bazara çıxmazdan əvvəl aparılan reklam kampaniyasının əsas məqsədi nədir?,Qiymət siyasətini gizlətmək,Alıcıları əvvəlcədən məlumatlandırmaq və maraq yaratmaq,Məhsulu bazardan əvvəl satmaq və gəlir əldə etmək,Satışı müvəqqəti dayandırmaq,Rəqibləri tənqid etmək və sıxışdırmaq,b
111,Aşağıdakı uyğunluqlardan hansısı doğrudur?,Stimullaşdırıcı reklam – etibar və nüfuz yaradır,Sabitlik reklamı – bazara çıxışı elan edir.,İmic reklamı – satışı dərhal artırır,İmic reklamı – firmanın nüfuzunu formalaşdırır.,Sabitlik reklamı – yeni məhsul təqdim edir,d
112,Sabitlik reklamının əsas məqsədi hansıdır?,Yeni məhsulu tanıtmaq və etibar yaratmaq,Qiymət endirimlərini elan etmək,Rəqibləri bazardan sıxışdırmaq və rəqabəti azaltmaq,Əldə olunmuş mövqeni qorumaq,Satışı kəskin artırmaq və xərcləri azaltmaq,d
113,Sabitlik reklamı əsasən hansı şəraitdə həyata keçirilir?,Məhsul bazardan çıxarıldıqda,Rəqiblər çoxaldıqda,Satış həcmi azaldıqda,Firma bazara yeni daxil olduqda,Firma bazarda möhkəm mövqe qazandıqda,e
114,Aşağıdakılardan hansı imic reklamına xas xüsusiyyət deyildir?,Firmanın nüfuzunun formalaşdırılması,Uzunmüddətli təsir məqsədi,Peşəkar və kreativ hazırlanma tələbi,Qısa müddətdə satışın kəskin artırılması,Prestij və etibarın artırılması,d
115,Uyğunluğu müəyyən edin. 1.Fərdi şəxslər reklamı 2.Hökumət və ictimai təşkilatlar reklamı 3.Mətbuat reklamı a. Reklam elanlarını yazılı informasiya vasitəsi ilə yaymaq b. Şəxsi əmlakın satılması və ya alınmasına kömək etmək c. Cəmiyyətdə sosial və ya siyasi davranış formalaşdırmaq,"1­c, 2­b,3­","1­a, 2­b,3­","1­c, 2­a,3­","1­b, 2­c,3­","1­a, 2­c,3­",d
116,Uyğunluğu müəyyən edin. 1.Fərdi şəxslər reklamı 2.Topdan və pərakəndə ticarətçilərin reklamı 3.İstehsalçı reklamı Marketin “endirim həftəsi”ni billboard və radio vasitəsilə elan etməsi Şəxsin öz avtomobilini satmaq üçün yerli qəzetdə elan verməsi Şirkətin yeni istehsal etdiyi telefon modelini televiziyada reklam etməsi,"1­b, 2­c,3­","1­a, 2­b,3­","1­c, 2­b,3­","1­b, 2­a,3­","1­a, 2­c,3­",d
117,Hansı nümunə mətbuat reklamına daha çox uyğundur?,İstehsalçının yeni məhsulunu televiziya və internetdə tanıtması,Mağazanın satış endirimlərini televiziya və billboardlarda göstərməsi,Dövlətin sosial və siyasi təşviqat çarxı,Qəzetdə müxtəlif şirkətlərin reklam elanlarının yerləşdirilməsi,Şəxsi evin satışı üçün fərdi şəxsin elan verməsi,d
118,Aşağıdakılardan hansı hökumət və ictimai təşkilatlar reklam nümunəsidir?,Fərdi şəxsin avtomobilini satmaq üçün elan verməsi,Şirkətin məhsulunu marketdə tanıtmaq üçün televiziya reklamı,Qəzetin kommersiya reklamı,Mağazanın yeni mallarını tanıdan reklam lövhəsi,“Tütün çəkməyin zərərləri” barədə dövlətin televiziya çarxı,e
119,Hansı reklam nümunəsi istehsalçı reklamına aiddir?,Yerli marketin xüsusi endirim gününü reklam etməsi,Qəzetdə məhsul haqqında ümumi xəbər verilməsi,Dövlətin ictimai sağlamlıq kampaniyasını televiziya və internetdə yayması,Samsung şirkətinin yeni telefon modelini televiziyada tanıtması,Şəxsi evin satış elanını qəzetdə yerləşdirmək,d
120,Maliyyə funksiyası ilə bağlı aşağıdakı fikirlərdən hansı mətndə düzgün əks olunmuşdur?,Smetanın icrasına yalnız maliyyə şöbəsi cavabdehdir,Reklam smetası yalnız bir aylıq tərtib olunur.,Menecerin vəzifəsi məhs reklam üzrə smeta layihəsi hazırlamaqdır.,Artıq məsrəflərə yol verilməsi normal hesab olunur,Reklam xərclərinə nəzarət istehsal şöbəsinə aiddir,c
121,Reklam verənlərin inzibati funksiyasına aşağıdakılardan hansı DAXİL DEYİL?,Reklam fəaliyyəti üzrə idarəetmənin təşkili,Reklam smetasının hazırlanması,Reklam üzrə kadrların seçilməsi və idarə olunması,Reklam agentliyinin seçilməsi,Şöbənin işinə nəzarət edilməsi,b
122,Reklam verən kompaniyaların tərkibi necə ola bilər?,Qeyri­istehsal sahələri və Xırda pərakəndə satış müəssisələrindən,Yalnız iri transmilli korporasiyalara,Vitrin və dekorasiya üzrə ixtisaslaşmış şirkətlər,Reklam agentlikləri və Vitrin dekoratorları,Xırda pərakəndə satış müəssisələrindən iri transmilli korporasiyalara qədər,e
123,Reklam biznesinin əsas təşkilat qruplarına nə daxildir?,Vitrin dekoratorları və reklam agentlikləri,Reklam agentlikləri və Şrift dizaynerləri,Reklam verən kompaniyalar və reklam agentlikləri,Şrift dizaynerləri və Fotoqraflar,Fotoqraflar və videostudiyalar,c
124,Kompleks xidmətlər göstərən informasiya­reklam agentliklərinin gələcəkdə rolu nə olacaq?,Bütün reklam işlərini və ictimai rəyin formalaşdırılmasını öz üzərinə götürmək,Malların qiymətlərini müəyyən etmək və ictimai rəyin formalaşdırılması,Mətni tərtib etmək və Vitrin tərtibatını həyata keçirmək,Vitrin tərtibatını həyata keçirmək və Bütün reklam işlərinə baxmaq,Rəngli illüstrasiyalar hazırlamaq,a
125,Reklam mətninin uğurunu artıran əsas keyfiyyətlər hansılardır?,Yalnız göz oxşayan illüstrasiya,"Həqiqət, fərdilik və inandırıcılıq",Məhsulun qiymətini gizlətmək,Şriftlərin müxtəlifliyi və qarışıqlığı,Mətnin uzunluğu və mürəkkəbliyi,b
126,İllüstrasiyanın mətndə istifadəsi alıcıya hansı faydayı verir?,Mətnin uzunluğunu artırmaq,Əlavə informasiya əldə etmədən anlayışın formalaşması,Məhsulun qiymətini göstərmək,Məhsulun keyfiyyətini sübut etmək,Yalnız rəng uyumunu təmin etmək,b
127,Kiçik firmaların reklam imici yaratmaq üçün istifadə etdiyi üsullardan biri hansıdır?,Məhsulu daha ucuz göstərmək,Avtoritet firmaların adlarından və tanış olmayan ifadələrdən istifadə,Rəngli şəkillərdən istifadə etmək,Reklamı böyük formatda hazırlamaq,Məhsulun şəkilini tamamilə gizlətmək,b
128,Vitrin tərtibatı hansı peşəkarlar tərəfindən hazırlanır?,Reklam agentliyinin menecerləri,Rəssam­dekoratorlar,Marketoloqlar,Texniki işçilər,Satıcı köməkçiləri,b
129,Hər bir vitrin üçün eskizlərin hazırlanması kim tərəfindən təsdiqlənir?,Mağaza satıcıları və İstehlakçılar,Məhsul istehsalçıları,Reklam agentlikləri xaricində heç kim,Müvafiq reklam şuraları və ticarət müəssisələrinin rəhbərləri,İstehlakçılar və Məhsul istehsalçıları,d
130,Vitrin tərtibatı zamanı nəzərə alınmalı əsas şərtlərdən biri hansıdır?,Məhsulun qiyməti,Reklamın rəngi,Məhsulun istehsal tarixi,Reklamın çap ölçüsü,Vitrinin əhəmiyyəti və yerləşdirilməsi,e
131,Vitrin ticarət reklamının əsas funksiyası nədir?,Yalnız qiymət göstərmək,Malı nümayiş etdirmək və alıcıların diqqətini cəlb etmək,Məhsulu pulsuz təqdim etmək,Məhsulun texniki xüsusiyyətlərini göstərmək,Təkcə mağazanın adını vurğulamaq,b
132,Aşağıdakılardan hansı topdan və pərakəndə ticarətçilərin reklam nümunəsidir?,Fərdi şəxsin şəxsi avtomobilini satmaq üçün plakat verməsi,Jurnalda ümumi məhsul xəbəri yayımlanması,Hökumət tərəfindən təşkil olunan sosial layihə reklamı,Mağazanın yeni gələn mallarını göstərən billboard reklamı,İstehsalçı şirkətin yeni məhsulunu televiziyada reklam etməsi,d
133,Hansı reklam nümunəsi fərdi şəxslər adından verilmiş reklama aiddir?,Coca­Cola şirkətinin yeni içkisinin reklamını televiziyada yayımlaması,Dövlət orqanının sağlam həyat tərzini təşviq edən reklam çarxı,Qəzetin gündəlik xəbər səhifəsində yayımlanan reklam,Evini satmaq istəyən bir şəxsin yerli qəzetdə elan verməsi,Marketin yeni məhsul kampaniyasını televiziyada nümayiş etdirməsi,d
134,Hökumət və ictimai təşkilatlar tərəfindən verilən reklamın əsas məqsədi hansıdır?,"Sosial, siyasi və kommersiya tədbirlərinin effektivliyini artırmaq və cəmiyyətdə müəyyən fikir formalaşdırmaq",Konkret şəxsin malını satmaq və İşçilərin məhsula bağlılığını artırmaq,Məhsulun satışını artırmaq və qiymətləri müqayisə etmək,Məhsulun istehsal xərclərini azaltmaq,Topdan və pərakəndə ticarətçiləri həvəsləndirmək,a
135,Fərdi şəxslər adından verilən reklamın əsas məqsədi nədir?,Geniş ictimaiyyətə məhsulu təqdim etmək,Dövlət siyasətini təşviq etmək,İşçilərin məhsula bağlılığını artırmaq,Konkret məhsulun satılmasını və ya alınmasını həvəsləndirmək,Topdan ticarətçiləri məhsulu satmağa inandırmaq,d
136,Topdan və pərakəndə ticarətçilərin reklamında hansı növ reklam məhsulun üstünlüklərini vurğulayır və alıcını inandırır?,Xatırladıcı reklam,Tanışedici reklam,Fərdi şəxslər reklamı,İstehsalçı reklamı,Təbliğedici / müqayisəedici reklam,e
137,Topdan və pərakəndə ticarətçilər tərəfindən verilən reklamın əsas məqsədi nədir?,Məhsulun istehsal texnologiyasını göstərmək,İşçilərin məhsula bağlılığını artırmaq,Reklam agentliyinin fəaliyyətini tanıtmaq,Alıcıları konkret mağazaya cəlb etmək və alış­verişə həvəsləndirmək,Yalnız qiymətləri müqayisə etmək,d
138,İstehsalçı reklamlarının əsas məqsədlərinə aid olmayan variant hansıdır?,Ticarətçilərin həvəsləndirilməsi,Mütəxəssislər arasında məhsula marağın artırılması,İstehlakçılarla müsbət münasibətin qurulması (public relations),Məhsulun texniki istehsal prosesini optimallaşdırmaq,Konkret məhsula tələbin yaradılması,d
139,Aşağıdakılardan hansı reklamın  funksiyası deyil?,İnformasiya vermək funksiyası,Məhsul istehsalının texnologiyasını təkmilləşdirmə funksiyası,Stimullaşdırıcı funksiyası,Məhsul və xidmətlərin təqdim olunması funksiyası,Satışın optimallaşdırılması funksiyası,b
140,Reklamın təqdim etmə funksiyası nəyi ifadə edir?,Məhsulun istehsal prosesini göstərmək,Məhsul və xidmətlərin bazarda tanıdılması və fərqləndirilməsi,Yalnız məhsulun qiymətinin açıqlanması,Reklamın yalnız vizual cəhətləri ilə maraq yaratması,İstehlakçını satışdan kənar saxlamaq,b
141,AIDA modelinin yaradıcı müəllifi kimdir və bu model nə vaxt yaradılmışdır?,"Leo Burnett, 1910­cu il","David Ogilvy, 1923­cü il","Philip Kotler, 1967­ci il","Claude Hopkins, 1905­ci il","Elmer Lewis, 1898­ci il",e
142,Aşağıdakılardan hansı reklam obyekti nümunəsi deyil?,Şəxs,Şirkətin daxili hesabat,Şirkətin Markası,Şirkətin Məhsulu,Şirkətin Xidməti,b
143,İllüstrasiya ilə mətndə hansı əsas əlaqə təmin edilməlidir?,Yalnız ölçü uyğunluğu,Malla birbaşa və aydın əlaqə,Dolayı və qarışıq əlaqə,Mətnin uzunluğunu azaltmaq,Yalnız rəng uyğunluğu,b
144,Psixoloji təsirin konativ səviyyəsi nəyi ifadə edir?,Məlumatın ötürülməsi,Davranışın müəyyən olunması,Təlqinetmə,Məhsulun qiymətinin göstərilməsi,Münasibətlərin formalaşması,b
145,Psixoloji təsirin suggestiv səviyyəsi nəyi nəzərdə tutur?,Məlumatın ötürülməsi,"Təlqinetmə, alıcının davranışına təsir",Davranışın müəyyən olunması,Məhsulun keyfiyyətinin göstərilməsi,Münasibətlərin formalaşması,b
146,Psixoloji təsirin affektiv səviyyəsi nəyi göstərir?,Məlumatın ötürülməsi,Münasibətlərin formalaşması,Davranışın müəyyən olunması,Məhsulun funksional xüsusiyyətləri,Təlqinetmə və inandırma,b
147,Psixoloji təsirin kognitiv səviyyəsi nəyi ifadə edir?,Münasibətlərin formalaşması,Məlumatın ötürülməsi,Davranışın müəyyən olunması,Reklamın vizual təsiri,Təlqinetmə və inandırma,b
148,Reklam müraciətinin forması və ötürülmə kanalı nə ilə müəyyən edilir?,Reklamın yalnız mövzusuna görə,Məqsədli auditoriyanın xüsusiyyətlərinə görə,Yalnız məhsulun istehsal texnologiyasına görə,Rənglərin uyğunluğuna görə,Məhsulun qiymətinə görə,b
149,Reklam mətnlərinin hazırlanmasında yaradıcı işin xarakteri ilə yanaşı hansı xarakter də mühüm rol oynayır?,Əyləncəli xarakter,Ədəbi xarakter,Texniki xarakter,Kommersiya xarakteri,Tarixi xarakter,d
150,Uşaqların reklamda göstərilməsi ilə bağlı düzgün yanaşma hansıdır?,Heç bir icazəyə ehtiyac yoxdur,Uşaqların şəkli hər zaman qara­ağ olmalıdır,Uşaqların şəkli yalnız rəngli fonla verilməlidir,Valideyn və ya qəyyumun razılığı tələb olunur,Uşaqların şəkli yalnız loqoda göstərilə bilər,d
151,Həqiqi alıcılara ünvanlanmış reklam üçün nə vacibdir?,Mətn yalnız məhsulun rəngi və ölçüsü üzərində qurulmalıdır,Reklam yalnız satış məntəqələrinə yönəlməlidir,Məhsulun qiyməti heç vaxt göstərilməməlidir,"Alıcının yaş, cins, ailə tərkibi və maraqları nəzərə alınmalıdır",Məhsul yalnız statistik vahid kimi göstərilməlidir,d
152,Yenilik reklamda hansı rolu oynayır?,Təkrar reklamın effektliyini artırır və daim yeni yollar axtarılır,Yalnız məhsulun istehsalçısını tanıdır,Məhsulun qiymətini aşağı salmaq üçün istifadə olunur,Əmtəə markasının imicinə təsir etmir,Reklamın vizual elementlərini əvəz edir,a
153,Əmtəə markasının imici niyə əhəmiyyətlidir?,Qiymətin formalaşmasına təsir etmədiyi üçün,Yalnız istehsalçı üçün statistik məlumat yaratdığı üçün,Məhsulun keyfiyyətini artırdığı üçün,Bazar rəqabətində əlavə dəyər yaradır və məhsulun tanınmasını təmin edir,Reklamın fonunu seçmək üçün vacibdir,d
154,“Böyük ideya” reklam üçün nə ifadə edir?,Reklamın rənglərinin uyumunu təmin edir,Məhsulun qiymətini aşağı salmaq üçün istifadə olunur,"İstehlakçının fərdi ehtiyaclarını nəzərə almır, , qısaömürlü effekt verir",Yalnız məhsulun qablaşdırmasına tətbiq olunur,"Orijinal, təzə, aydın ideya üzərində qurulmuş reklam, uzunömürlü effekt verir",e
155,Reklam Mətnində hansı faktorlar insan davranışına təsir göstərir?,Mətnin uzunluğu və şrift tipi,Şəxsi rifah və ehtiyacların ödənilməsi,Mətnin fon rəngi,Satıcının danışıq tərzi,Reklam lövhəsinin ölçüsü,b
156,Reklam obyekti və predmeti arasındakı əsas fərq nədir?,"Obyekt – alıcı, predmet – satıcı","Obyekt – reklamın məqsədi, predmet – məhsulun növü","Obyekt – reklam agentliyi, predmet – istifadə olunan vasitələr","Obyekt – reklam edilən element, predmet – obyektlə bağlı məqsəd və vəzifələr","Obyekt – satış kanalları, predmet – reklam büdcəsi",d
157,Reklamın predmeti nəyi ifadə edir?,Reklamın maliyyə xərcləri və büdcəsi,Reklamın yayımlandığı kanal və vasitələr,Reklam edilən məhsul və ya xidmətin növü,Obyektlə bağlı qarşıya qoyulan məqsəd və vəzifələr,Reklamın ictimai təsir gücü,d
158,Reklamın obyekti nədir?,Reklamı hazırlayan agentlik və ya yaradıcı qrup,Reklamın maliyyə mənbəyi,"Reklamın yayım vasitələri (TV, radio, qəzet, internet və s.)","Reklam edilən şey – məhsul, xidmət, firma, marka, şəxs və s.",Reklamın məqsədi və qarşıya qoyduğu vəzifələr,d
159,Reklamın monoloq xarakterli olması nə deməkdir?,"Reklamın auditoriyaya müraciət edib, dərhal cavab gözləməməsi",Reklamın qarşılıqlı dialoq formasında qurulması,Reklamın sorğu və müsahibə formasında aparılması,Reklamın yalnız fərdi satış zamanı tətbiq olunması,Reklamın istehlakçı rəyinə əsaslanması,a
160,Televiziya reklamının başqa otaqdan belə diqqət çəkməsi hansı reklam xüsusiyyəti ilə bağlıdır?,Ekspressivlik xüsusiyyəti ilə,İctimai xarakteri ilə,Görünməzlik xüsusiyyəti ilə,Nəsihətvermə qabiliyyəti ilə,İnformativ neytrallığı ilə,a
161,Reklamın nəsihətvermə (öyüdvermə) qabiliyyəti əsasən hansı funksiyanı yerinə yetirir?,İstehlakçını məcburi satınalmaya yönəldir,Məhsulun texniki istehsal prosesini açıqlayır,Reklamın yalnız çap mediasında istifadə edilməsi,İstehlakçıya məhsulları müqayisə etməyə və seçim etməyə kömək edir,"Reklamda səs, rəng, musiqi, şrift kimi vasitələrdən istifadə imkanı verir",d
162,Reklamın ekspressivlik xüsusiyyəti nəyi  ifadə edir?,Reklam istehlakçıya müxtəlif məhsulları müqayisə etməyə və seçim etməyə kömək edir.,Reklamın yalnız çap mediasında istifadə edilməsi.,Reklam birbaşa dialoq yaratmır.,"Reklamda səs, rəng, musiqi, şrift kimi vasitələrdən istifadə imkanını",Reklamın kütləvi auditoriya üçün nəzərdə tutulması və açıq informasiya forması olması,d
163,Reklamın ictimai xarakteri anlayışı mətnə görə nəyi ifadə edir?,Reklam istehlakçıya müxtəlif məhsulları müqayisə etməyə və seçim etməyə kömək edir.,"Reklamda səs, rəng, musiqi, şrift kimi vasitələrdən istifadə məhsulun daha cəlbedici təqdim olunmasına imkan verir.",Reklamın yalnız çap mediasında istifadə edilməsi.,"Reklam birbaşa dialoq yaratmır. O, auditoriyaya müraciət edir, lakin auditoriyadan dərhal cavab gözləmir.",Reklamın kütləvi auditoriya üçün nəzərdə tutulması və açıq informasiya forması olması,e
164,Sizcə reklamın istehlakçılara təsiri nədən asılı olaraq dəyişir?,Sadəcə reklamın kreativliyindən və reklama çəkilən xərcdən,Reklamın yayımlandığı mediadan və reklamın növündən,Satış qiymətinin səviyyəsindən və istehlakçı davranışından,"Məhsulun xüsusiyyətlərindən, bazar şəraitindən və istehlakçı davranışından",Reklamın tezliyindən və Satış qiymətinin səviyyəsindən,d
165,İstehlakçı cəlbediciliyi yüksək olduqda hansı yanaşmanın tətbiqi daha məqsədəuyğundur?,Zəif reklam nəzəriyyəsinin,PR əsaslı yanaşmanın,Birbaşa marketinq yanaşmasının,Güclü reklam nəzəriyyəsinin,Satışın həvəsləndirilməsi yanaşmasının,d
166,Mətn hazırlanmasında ABŞ psixoloqu Maslounun nəzəriyyəsinin rolu nədir?,Yalnız vizual elementlərin seçilməsini müəyyən edir,Ehtiyaclara uyğun motivlər əsasında mətni tərtib etməyə imkan verir,Reklamın rəng və fon seçimində istifadə olunur,Mətnin uzunluğunu müəyyən edir,Qiymət siyasətini təyin edir,b
167,Mətn hazırlayan mütəxəssisin qərarına hansı yanaşma uyğun gəlir?,Sadəcə rəqəmlər və faktlara güvənmək,Rasional izahı olmayan intuisiyaya əsaslanmaq,Alıcının davranışını nəzərə almamaq,Şirkətin bazar mövqeyini analiz etməmək,Mətnin yalnız dekorativ olmasına diqqət yetirmək,b
168,Mətnin inandırıcılığı hansı əsas amillə artır?,Mətnin uzunluğu və mürəkkəb ifadələr,Məhsulun layiqli olması və faktların dəqiqliyi,İllüstrasiyanın dominant olması,Qiymətin göstərilməməsi,Alıcının diqqətini yayındırmaq üçün qeyri­dəqiq məlumatlar,b
169,Mətnin hazırlanmasında alıcıya təsir edən əsas motiv hansıdır?,Şirkətin loqosu,Reklamın fon rəngi,Alıcının mövcud ehtiyacları və faktorlar,Mətnin dekorativliyi,Mətnin uzunluğu,c
170,Maslounun tələbatlar nəzəriyyəsinə əsasən düzgün fikir hansıdır?,Fizioloji ehtiyac ödənildikdən sonra digər ehtiyaclar əhəmiyyətsizdir,Ehtiyaclar irarxik qaydada düzülür və zəruri ehtiyac ödənildikdən sonra növbəti mərhələ aktual olur,Özünü ifadə ehtiyacı yalnız işgüzar motivlərlə bağlıdır,Hörmət və prestij ehtiyacı hər zaman birinci yerdədir,Məhəbbətə olan ehtiyac reklam mətnində göstərilməməlidir,b
